filename,path,platform,urgency,scarcity,social_proof,guilt_wording,other,is_dark
ONE_1.png,/content/acmwork/iteration2/data/own_screenshots/ONE_1.png,own,0,0,0,0,1,1
ONE_2.png,/content/acmwork/iteration2/data/own_screenshots/ONE_2.png,own,1,0,1,0,1,1
ONE_3.png,/content/acmwork/iteration2/data/own_screenshots/ONE_3.png,own,1,1,1,0,0,1
ONE_4.png,/content/acmwork/iteration2/data/own_screenshots/ONE_4.png,own,0,0,1,0,0,1
ONE_5.png,/content/acmwork/iteration2/data/own_screenshots/ONE_5.png,own,1,0,0,0,1,1
ONE_6.png,/content/acmwork/iteration2/data/own_screenshots/ONE_6.png,own,0,0,0,0,1,1
ONE_7.png,/content/acmwork/iteration2/data/own_screenshots/ONE_7.png,own,0,0,0,0,1,1
ONE_8.png,/content/acmwork/iteration2/data/own_screenshots/ONE_8.png,own,0,0,0,1,1,1
ONE_9.png,/content/acmwork/iteration2/data/own_screenshots/ONE_9.png,own,0,1,1,0,0,1
ONE_10.png,/content/acmwork/iteration2/data/own_screenshots/ONE_10.png,own,1,1,0,0,0,1
TWO_1.png,/content/acmwork/iteration2/data/own_screenshots/TWO_1.png,own,0,0,0,0,0,0
TWO_2.png,/content/acmwork/iteration2/data/own_screenshots/TWO_2.png,own,0,0,0,0,0,0
TWO_3.png,/content/acmwork/iteration2/data/own_screenshots/TWO_3.png,own,0,0,0,0,0,0
TWO_4.png,/content/acmwork/iteration2/data/own_screenshots/TWO_4.png,own,0,0,0,0,1,1
TWO_5.png,/content/acmwork/iteration2/data/own_screenshots/TWO_5.png,own,1,0,0,0,1,1
TWO_6.png,/content/acmwork/iteration2/data/own_screenshots/TWO_6.png,own,0,1,1,0,0,1
TWO_7.png,/content/acmwork/iteration2/data/own_screenshots/TWO_7.png,own,0,0,0,1,1,1
TWO_8.png,/content/acmwork/iteration2/data/own_screenshots/TWO_8.png,own,0,0,0,0,1,1
TWO_9.png,/content/acmwork/iteration2/data/own_screenshots/TWO_9.png,own,0,0,0,0,1,1
TWO_10.png,/content/acmwork/iteration2/data/own_screenshots/TWO_10.png,own,1,1,1,0,0,1
THREE_1.png,/content/acmwork/iteration2/data/own_screenshots/THREE_1.png,own,0,0,0,1,0,1
THREE_2.png,/content/acmwork/iteration2/data/own_screenshots/THREE_2.png,own,0,0,0,1,0,1
THREE_3.png,/content/acmwork/iteration2/data/own_screenshots/THREE_3.png,own,0,0,0,1,0,1
THREE_4.png,/content/acmwork/iteration2/data/own_screenshots/THREE_4.png,own,0,0,0,1,0,1
THREE_5.png,/content/acmwork/iteration2/data/own_screenshots/THREE_5.png,own,0,0,0,1,1,1
THREE_6.png,/content/acmwork/iteration2/data/own_screenshots/THREE_6.png,own,0,0,0,1,0,1
THREE_7.png,/content/acmwork/iteration2/data/own_screenshots/THREE_7.png,own,0,0,0,1,0,1
THREE_8.png,/content/acmwork/iteration2/data/own_screenshots/THREE_8.png,own,0,0,0,1,0,1
THREE_9.png,/content/acmwork/iteration2/data/own_screenshots/THREE_9.png,own,0,0,0,1,0,1
THREE_10.png,/content/acmwork/iteration2/data/own_screenshots/THREE_10.png,own,0,0,0,1,0,1
FOUR_1.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_1.png,own,0,0,0,0,0,0
FOUR_2.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_2.png,own,0,0,0,0,0,0
FOUR_3.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_3.png,own,0,0,0,0,0,0
FOUR_4.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_4.png,own,0,0,0,0,0,0
FOUR_5.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_5.png,own,0,0,0,0,0,0
FOUR_6.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_6.png,own,0,0,0,0,0,0
FOUR_7.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_7.png,own,0,0,0,0,0,0
FOUR_8.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_8.png,own,0,0,0,0,0,0
FOUR_9.png,/content/acmwork/iteration2/data/own_screenshots/FOUR_9.png,own,0,0,0,0,0,0
FIVE_1.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_1.png,own,0,0,0,0,1,1
FIVE_2.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_2.png,own,0,0,0,0,1,1
FIVE_3.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_3.png,own,0,0,0,0,1,1
FIVE_4.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_4.png,own,0,0,0,0,1,1
FIVE_5.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_5.png,own,0,0,0,0,1,1
FIVE_6.png,/content/acmwork/iteration2/data/own_screenshots/FIVE_6.png,own,0,0,0,0,1,1
