screen_id,source_dataset,platform,manipulated_path,neutralized_path,severity_vision,severity_text,severity_vision_alt,top_category_vision,gt_guilt_wording,selection_reason
communication_27--boss-revolution-0-37_221f.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/communication_27--boss-revolution-0-37_221f.jpg,/content/acmwork/iteration3/data/neutralized/communication_27--boss-revolution-0-37_221f.jpg,0.0,0.0052395916562805,0.0,urgency,0,severity bin 1/5
1089.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/1089.jpg,/content/acmwork/iteration3/data/neutralized/1089.jpg,0.0,0.2500848907443325,0.0,urgency,0,severity bin 1/5
americanapprel.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/americanapprel.png,/content/acmwork/iteration3/data/neutralized/americanapprel.png,0.15,0.5673019661247689,0.15,scarcity,0,severity bin 2/5
urbanedcsupply.com.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/urbanedcsupply.com.png,/content/acmwork/iteration3/data/neutralized/urbanedcsupply.com.png,0.15,0.5934021448737121,0.15,scarcity,0,severity bin 2/5
bokksu.com.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/bokksu.com.png,/content/acmwork/iteration3/data/neutralized/bokksu.com.png,0.25,0.6022672398069085,0.25,social_proof,0,severity bin 3/5
FIVE_1.png,own,own,/content/acmwork/iteration2/data/own_screenshots/FIVE_1.png,/content/acmwork/iteration3/data/neutralized/FIVE_1.png,0.25,0.4782677121119678,0.4499999999999999,other,0,visual-only (hard constraint)
THREE_7.png,own,own,/content/acmwork/iteration2/data/own_screenshots/THREE_7.png,/content/acmwork/iteration3/data/neutralized/THREE_7.png,0.3,0.335678909464533,0.3,guilt_wording,1,severity bin 4/5
13761_lRqlNk0.jpg,contextdp,mobile,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/13761_lRqlNk0.jpg,/content/acmwork/iteration3/data/neutralized/13761_lRqlNk0.jpg,0.3,0.6060665578872713,0.3,guilt_wording,0,severity bin 4/5
booking.com_.png,contextdp,web,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/booking.com_.png,/content/acmwork/iteration3/data/neutralized/booking.com_.png,0.4299999999999999,0.6359912342390635,0.4299999999999999,scarcity,0,severity bin 5/5
ONE_8.png,own,own,/content/acmwork/iteration2/data/own_screenshots/ONE_8.png,/content/acmwork/iteration3/data/neutralized/ONE_8.png,0.48,0.7315489003597584,0.48,guilt_wording,1,guilt_wording (hard constraint)
