filename,urgency,scarcity,social_proof,guilt_wording,other
ONE_1.png,0,0,0,0,1
ONE_2.png,1,0,1,0,1
ONE_3.png,1,1,1,0,0
ONE_4.png,0,0,1,0,0
ONE_5.png,1,0,0,0,1
ONE_6.png,0,0,0,0,1
ONE_7.png,0,0,0,0,1
ONE_8.png,0,0,0,1,1
ONE_9.png,0,1,1,0,0
ONE_10.png,1,1,0,0,0
TWO_1.png,0,0,0,0,0
TWO_2.png,0,0,0,0,0
TWO_3.png,0,0,0,0,0
TWO_4.png,0,0,0,0,1
TWO_5.png,1,0,0,0,1
TWO_6.png,0,1,1,0,0
TWO_7.png,0,0,0,1,1
TWO_8.png,0,0,0,0,1
TWO_9.png,0,0,0,0,1
TWO_10.png,1,1,1,0,0
THREE_1.png,0,0,0,1,0
THREE_2.png,0,0,0,1,0
THREE_3.png,0,0,0,1,0
THREE_4.png,0,0,0,1,0
THREE_5.png,0,0,0,1,1
THREE_6.png,0,0,0,1,0
THREE_7.png,0,0,0,1,0
THREE_8.png,0,0,0,1,0
THREE_9.png,0,0,0,1,0
THREE_10.png,0,0,0,1,0
FOUR_1.png,0,0,0,0,0
FOUR_2.png,0,0,0,0,0
FOUR_3.png,0,0,0,0,0
FOUR_4.png,0,0,0,0,0
FOUR_5.png,0,0,0,0,0
FOUR_6.png,0,0,0,0,0
FOUR_7.png,0,0,0,0,0
FOUR_8.png,0,0,0,0,0
FOUR_9.png,0,0,0,0,0
FIVE_1.png,0,0,0,0,1
FIVE_2.png,0,0,0,0,1
FIVE_3.png,0,0,0,0,1
FIVE_4.png,0,0,0,0,1
FIVE_5.png,0,0,0,0,1
FIVE_6.png,0,0,0,0,1
