response_id,ts_iso,participant_id,source,screen_id,condition,image_shown,decision,rt_ms
a57ce100d04347d08c5ebc6ca9f1fe80,2026-07-19T05:43:40,synth_0000,synthetic,communication_27--boss-revolution-0-37_221f.jpg,neutralized,/content/acmwork/iteration3/data/neutralized/communication_27--boss-revolution-0-37_221f.jpg,0,3064
d8b67c4d469c49ba9837316e5fa37ee3,2026-07-19T05:43:40,synth_0000,synthetic,1089.jpg,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/1089.jpg,0,2576
f9a6da0b85404c3999aafaf204a4073d,2026-07-19T05:43:40,synth_0000,synthetic,americanapprel.png,neutralized,/content/acmwork/iteration3/data/neutralized/americanapprel.png,1,1988
350b955762b949cdad28a6a7ace855c6,2026-07-19T05:43:40,synth_0000,synthetic,urbanedcsupply.com.png,neutralized,/content/acmwork/iteration3/data/neutralized/urbanedcsupply.com.png,0,2539
939cbaa39b394eb387e5a991f089b843,2026-07-19T05:43:40,synth_0000,synthetic,bokksu.com.png,neutralized,/content/acmwork/iteration3/data/neutralized/bokksu.com.png,0,1984
51549712864a44aab69b011ac3df862e,2026-07-19T05:43:40,synth_0000,synthetic,FIVE_1.png,manipulated,/content/acmwork/iteration2/data/own_screenshots/FIVE_1.png,1,3027
a24dc0cdfa034bd3b14c070766041b97,2026-07-19T05:43:40,synth_0000,synthetic,THREE_7.png,manipulated,/content/acmwork/iteration2/data/own_screenshots/THREE_7.png,0,2091
a0c9bb7b3c71476ca625a02edb91bbbc,2026-07-19T05:43:40,synth_0000,synthetic,13761_lRqlNk0.jpg,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/13761_lRqlNk0.jpg,0,2243
48b2b00389a04c0ca36aab6f68439220,2026-07-19T05:43:40,synth_0000,synthetic,booking.com_.png,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/booking.com_.png,1,2719
c42dbf559fac48caaad759f1f84d662a,2026-07-19T05:43:40,synth_0000,synthetic,ONE_8.png,neutralized,/content/acmwork/iteration3/data/neutralized/ONE_8.png,0,3784
f2735f771ccb4c1697ba18f354b553f8,2026-07-19T05:43:40,synth_0001,synthetic,communication_27--boss-revolution-0-37_221f.jpg,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/mobile/images/communication_27--boss-revolution-0-37_221f.jpg,0,2869
2aa36872da5e43cb98fc45e3870cdfbf,2026-07-19T05:43:40,synth_0001,synthetic,1089.jpg,neutralized,/content/acmwork/iteration3/data/neutralized/1089.jpg,1,1995
3947477094bc4d95b07beb7eec1c99ef,2026-07-19T05:43:40,synth_0001,synthetic,americanapprel.png,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/americanapprel.png,0,2945
362e2d2747274812afb0d044f812a92a,2026-07-19T05:43:40,synth_0001,synthetic,urbanedcsupply.com.png,neutralized,/content/acmwork/iteration3/data/neutralized/urbanedcsupply.com.png,0,2639
ab8bb7ee8e1e47fa9acdf7dfb99cc179,2026-07-19T05:43:40,synth_0001,synthetic,bokksu.com.png,neutralized,/content/acmwork/iteration3/data/neutralized/bokksu.com.png,0,3022
b38464cdbd0743a4ba68dd2a97e758db,2026-07-19T05:43:40,synth_0001,synthetic,FIVE_1.png,neutralized,/content/acmwork/iteration3/data/neutralized/FIVE_1.png,1,2540
9fd53105d51246d3a4afd9edf7caf1b5,2026-07-19T05:43:40,synth_0001,synthetic,THREE_7.png,neutralized,/content/acmwork/iteration3/data/neutralized/THREE_7.png,0,1625
b1a1512b3fc544c6b840ad4d8cb2059a,2026-07-19T05:43:40,synth_0001,synthetic,13761_lRqlNk0.jpg,neutralized,/content/acmwork/iteration3/data/neutralized/13761_lRqlNk0.jpg,0,2116
2fcf702f6016439f96907f13d70ce8c0,2026-07-19T05:43:40,synth_0001,synthetic,booking.com_.png,manipulated,/content/acmwork/iteration2/AidUI/evaluation/evaluation_dataset/web/images/booking.com_.png,1,1980
